주식,기사 제목,언론사,주가변동여부,거래량변동여부
한전기술,"우리기술, '한전 전력연구원'과 풍력발전 제어시스템 개발 MOU",한국경제,0,0
한전기술,"우리기술, 한전 전력연구원과 풍력발전 제어시스템 개발 양해각서 체결",파이낸셜뉴스,0,0
한전기술,"우리기술, 한전 전력연구원과 풍력발전 제어시스템 개발 MOU",아시아경제,0,0
한전기술,코스피200 종목 90%가 '파란불'…한전기술·신풍제약은 강세,이데일리,0,0
한전기술,"한전, 세계 최초로 해상풍력 일괄설치기술 개발…""해상풍력 보급에 속도 낼 것""",중앙일보,1,1
한전기술,"해상풍력 발전기 10일 만에 설치…한전, 세계 최초 기술 개발",부산일보,0,0
한전기술,"한전, 해상풍력 설치 10일만에 끝내는 기술 세계최초 개발",매일경제,0,0
한전기술,"한전, 세계 최초 해상풍력 일괄설치기술 개발...공사기간 90일에서 10일로 단축",한국일보,0,0
한전기술,"한전, 세계 최초 해상풍력 설치 10일만에 끝내는 기술 개발",YTN,0,0
한전기술,"한전, 해상풍력 일괄설치 기술 개발…""세계 최초""",중앙일보,0,0
한전기술,"한전, 해상풍력 설치 10일만에 끝내는 기술 세계최초 개발",연합뉴스,0,0
한전기술,"한전, 해상풍력 설치 기술 세계 최초 개발… 공기 90일→10일 단축",디지털타임스,0,0
한전기술,"한전, ‘세계 최초’ 해상풍력 일괄설치기술 개발",헤럴드경제,0,0
한전기술,"해상풍력 설치 '90일→10일'로 단축…한전, 세계 첫 해상풍력 일괄설치기술 개발",한국경제TV,0,0
한전기술,"한전, 해상풍력 일괄설치 기술 세계 최초 개발…군산항서 진수식",연합뉴스,0,0
한전기술,"한전기술, 김천 자두축제로 ‘대한민국 동행세일’ 동참",머니S,0,0
한전기술,"김숙철 한전 기술혁신본부장 ""탄소중립 대응 에너지전환과 디지털변환에 역량 집중""",뉴스1,0,0
한전기술,"한전기술, 광역 청렴시민감사관 공동 토론회 개최",전자신문,0,0
한전기술,"한전기술, 남동발전과 감사역량 강화-반부패·청렴 협력",뉴스1,0,0
한전기술,"한전기술-남동발전, 감사역량 강화 및 반부패 정책 협력",부산일보,1,1
한전기술,"한전, 대기오염물질 제거기술 개발 착수",아시아경제,1,0
한전기술,"한전, LNG 발전소 대기오염물질 제거 기술개발 나서",전자신문,0,1
한전기술,"한전, LNG 복합화력 대기오염물질 제거 기술 개발 착수",부산일보,0,0
한전기술,"한전, LNG 복합화력 대기오염물질 제거 기술 개발 착수",부산일보,1,1
한전기술,"한전, LNG 발전소 미세먼지 없애는 기술 개발한다",데일리안,1,1
한전기술,"한전, LNG 복합화력 대기오염물질 제거 기술 개발 착수",디지털타임스,0,1
한전기술,"한전, LNG 발전 기동 시 오염물질 제거 가능한 기술 개발 착수",뉴시스,0,1
한전기술,"한전, LNG 복합화력 대기오염물질 제거 기술개발 나서",SBS Biz,0,1
한전기술,"한전, LNG 복합화력 대기오염물질 제거 기술 개발 착수",이데일리,0,1
한전기술,"한전, LNG 복합화력 ‘대기오염물질 제거 기술’ 개발 착수",머니투데이,0,1
한전기술,"한전기술, 도로공사와 스마트건설·디지털엔지니어링 기술협력",전자신문,0,1
한전기술,"한전기술, 윤리데이(6.2) 맞이 비대면 청렴활동 전개",데일리안,0,1
한전기술,"정승일 한전사장 ""에너지 전분야 기술혁신""",디지털타임스,0,1
한전기술,"정승일 한전 사장 ""에너지 기술 혁신·시스템 전환 고민해야""",연합뉴스,0,1
한전기술,한전-전기기술인협 ‘파워체크 모바일 서비스’ 사업 협력,부산일보,0,1
한전기술,"한전, 전기기술인협회와 모바일 안전관리 협력…""고장 예방""",부산일보,0,0
한전기술,"한전·전기기술인협회, 모바일 활용 안전관리 강화 맞손",부산일보,1,1
한전기술,"한전, 한국전기기술인협회와 '파워체크 모바일 서비스' 협력",디지털타임스,1,1
한전기술,"한전·전기기술인협, 파워체크 모바일서비스 협력",뉴시스,1,1
한전기술,"한전, 전기기술인협회와 모바일 안전관리 협력",조선비즈,1,1
한전기술,"한전, 전기기술인협회와 모바일 안전관리 협력…""고장 예방""",국민일보,1,1
한전기술,"한전·전기기술인협, 파워체크 모바일 서비스 협력…전기고장 예방",부산일보,0,1
한전기술,"한전, 한국전기기술인협회와 파워체크 모바일 서비스 사업 협력",이데일리,0,1
한전기술,"한전, 전기기술인협회와 '파워체크 모바일 서비스' 사업 협력",데일리안,0,1
